news,Date,Adj Close1,Adj Close
"Gupta Equities is bullish on Punjab National Bank and has recommended buy rating on the stock with a target of Rs 1500 in its September 6, 2010 resear...",2010-12-10,123.623825,-0.0967195963
"Punjab National Bank is in an uptrend in short term, medium term & long term. It is at all time highs. Despite this rise there is no negative divergen...#Exit Punjab National Bank (PNB), says Radhika Gupta, Director, Forefront Capital Management....",2010-08-10,113.737206,-0.0799734113
"One should book profit in Punjab National Bank around Rs 1,345-1,350. One can re-enter at lower levels and if not, can keep a trailing stop loss of ar...#Book partial profits in PNB, says Ambareesh Baliga, Karvy Stock Broking....",2010-05-10,98.832489,-0.1310452184
"State Bank of India can go upto Rs 3400, says Technical Analyst, Ashwani Gujral....",2010-09-30,133.319717,0.348946266
"Punjab National Bank (PNB) can test Rs 1360-1365, says Technical Analyst, Ashwani Gujral....",2010-09-29,133.747543,0.0032090227
"Debt ridden steel product maker Ispat Industries� main lenders State Bank of India, IDBI, IFCI, Punjab National Bank and ICICI met yesterday and decid...#Punjab National Bank (PNB) has upped the base rate from 8% to 8.5%. In an interview with CNBC-TV18�s Sonia Shenoy, chairman of the bank KR Kamath, spo...#State-owned Punjab National Bank said on Thursday it will from October 1, 2010 raise its base rate to 8.5% from 8%. Its benchmark prime lending rate w...",2010-09-27,134.16507,0.0031217545
Angel Broking has come out with its earning estimates on banking sector for the quarter ended September 2010....,2010-09-17,132.561981,-0.0119486316
"Motilal Oswal has come out with its earning estimates on banking sector for the quarter ended September 2010....#In an interview with CNBC-TV18, KR Kamath, Chairman, Punjab National Bank, spoke about the latest happenings in his company and sector....#Karvy Stock Broking has maintained an outperformer rating on Punjab National Bank with a target of Rs 1562 in its October 7, 2010 research report....",2010-09-14,129.711456,-0.0215033374
"Sharekhan has come out with its earning estimates on banking sector for the quarter ended September 2010. According to the research firm, Punjab Natio...",2010-06-09,99.211838,-0.2351343431
Punjab National Bank said on Monday the Reserve Bank of India has issued certificate of registration to the former's non-banking joint venture (JV) fi...,2010-08-18,122.000107,0.2296930433
"Hold PSU banks, says Prashastha Seth, Senior VP, IIFL Private Wealth....#Bedmutha Industries was recently awarded mega project status by the government of Maharashtra to the tune of Rs 307.42 crore. This is part of the gove...",2010-08-13,117.427956,-0.0374766147
"Buy Canara Bank on dips, says Ambareesh Baliga, Karvy Stock Broking. ...",2010-09-08,126.721764,0.0791447652
"Get in PNB on dips, says Anu Jain, IIFL Private Wealth Management. ...",2010-07-29,108.933098,-0.1403757763
State-owned Punjab National Bank (PNB) is set to announce its results for the quarter ended September 2010....,2010-07-26,107.098038,-0.0168457524
"Punjab National Bank has reported a net profit of Rs 1,075 crore as compared to Rs 927 crore. In an interview with CNBC-TV18, KR Kamath, Chairman, Pun...#State-run Punjab National Bank Ltd will find it difficult to sustain margins at current levels, Chairman K.R. Kamath told reporters on Thursd...#Public sector lender Punjab National Bank (PNB) has announced its results for the quarter September 2010. It has reported net profit at Rs 1,075 crore...",2010-07-23,108.319687,0.0114068289
"Hold Punjab National Bank, Bank of Baroda, ICICI Bank and Shriram Transport, says Suresh Mahadevan, Head-India Research, UBS Securities....",2010-07-22,109.134125,0.0075188363
"Punjab National Bank has good support at Rs 1280, says Rahul Mohindar of Viratechindia....",2010-07-21,109.443405,0.002833944
"Motilal Oswal is bullish on Punjab National Bank and has recommended buy rating on the stock with a target of Rs 1550 in its October 28, 2010 research...",2010-07-14,108.536179,-0.0082894533
"Angel Broking has maintained a neutral rating on Punjab National Bank, in its October 29, 2010 research report....",2010-10-07,135.541351,0.2488126286
"KRChoksey is bullish on Punjab National Bank and has recommended buy rating on the stock with a target of Rs 1542 in its November 03, 2010 research re...",2010-09-07,125.62384,-0.0731696337
"TS Harihar of Karvy Stock Broking bet on Punjab National Bank and Bank of Baroda....#In an exclusive interview to CNBC-TV18, Vikram Akula, Chairman and Dilli Raj CFO clarified their stance that the company is well capitalised and not ...",2010-05-07,98.633095,-0.2148536854
"Accumulate banking stocks at current level, says Prashastha Seth, Senior VP, IIFL Private Wealth....#In an interview with CNBC-TV18, Deepak Parekh, Chairman, HDFC gave his perspective on the housing loan scam....#The Central Bureau of Investigation (CBI) has unearthed a fake housing scandal that runs into crores of rupees. LIC Housing Finance, Central Bank of I...",2010-06-30,102.027695,0.03441644
"UBS cut its rating on India's LIC Housing Finance to ""sell"" from ""neutral"" on Thursday, a day after the federal police arrested its CEO for alleged br...#In an exclusive interview with CNBC-TV18�s Udayan Mukherjee and Sonia Shenoy, chairman and managing director of one of the involved parties�PNB said t...",2010-06-29,101.9888,-0.00038122
"Here are some facts about the companies allegedly involved in the bribery scandal:...#Buy banking stocks, says Vibhav Kapoor, IL&FS....#Core Projects tanked 33% in early trade today. In an interview with CNBC-TV18, Nikhil Morsawala, Director Finance at Core Projects & Technologies gave...",2010-06-28,102.159012,0.0016689284
The Central Bureau of Investigation (CBI) is looking into bad loan write-offs by some banks and financial institutions involved in a bribes-for-loans ...,2010-06-23,102.15416,-4.74945861849137E-05
"Technical Analyst, Ashwani Gujral feels that Punjab National Bank and Axis Bank may see some more correction....#LIC Housing Finance said on Monday loans worth Rs 389 crore (USD 85 million) issued by it were under probe by the federal investigative bureau in a fi...",2010-05-17,97.378357,-0.04675094
"Vijaya Bank looks cheap amongst the midcap PSU banks, says SP Tulsian, Investment Advisor....",2010-05-13,100.092094,0.0278679686
"Prefer Punjab National Bank (PNB), says Mehrab Irani, Tata Investment Corporation....#Prefer Punjab National Bank (PNB) and Bank Of Baroda (BoB), says Devang Mehta, Vice President and Head - equity sales at Anand Rathi Financial Service...",2010-07-05,104.532318,0.0443613858
"At a banking conference, the Reserve Bank of India (RBI) governor had stated that he saw the need for banks to reduce their margins; but Kamath said t...",2010-05-05,101.414925,-0.029822289
"State Bank of India has support at Rs 2770, says Vijay Bhambwani, Technical Analyst....",2010-04-23,100.388756,-0.0101185205
"State-run Punjab National Bank (PNB) said on Monday it has bought 63.64% stake in JSC Dana Bank, Kazakhstan for 3.5 billion Tenge or USD 23.76 million...#Stay away from smallcap banks, says Ajay Srivastava, CEO of Dimensions Consulting....#PNB has target of Rs 1312, says Jagannadham Thununguntla of SMC Cap....#Bull's Eye, the popular game show on CNBC-TV18, offer investors a chance to have a look at the stocks that can be added to their portfolio....",2010-04-19,96.512688,-0.0386105791
"Lanco Infratech Ltd said on Monday it has secured a debt of 55.49 bn Rs from a consortium of banks for the 1,320 MW thermal power project, b...",2010-04-16,96.819077,0.0031745981
"In January, companies will announce their results for the quarter ending December 31, 2010. In an interview with CNBC-TV18, Abhijit Mazumdar, Prabhuda...",2011-12-29,89.607948,-0.074480456
"Karvy Stock Broking has come out with its earning estimates on banking sector for the quarter ended December 2010. According to the research firm, Pun...#Buy PNB 1150 Put, says VK Sharma, Head Private Broking & Wealth Management, HDFC Securities....",2011-12-28,88.856331,-0.0083878385
"Prabhudas Lilladher has come out with its earning estimates on banking sector for the quarter ended December 2010. According to the research firm, Pun...",2011-12-20,89.286636,0.004842705
"KRChoksey has come out with its earning estimates on banking and financial sector for the quarter ended December 2010. According to the research firm,...",2011-12-12,102.459892,0.1475389441
"Angel Broking has come out with its earning estimates on banking sector for the quarter ended December 2010. According to the research firm, Punjab Na...",2011-01-12,122.876404,0.1992634542
State-run lender Punjab National Bank restructured its insurance and mutual fund joint ventures by buying out its partners' stake from the insurance v...,2011-08-11,127.526947,0.0378473234
"Speaking on the bank's earnings, KR Kamath, CMD, PNB told CNBC-TV18 recoveries have been higher this time around than last year. Kamath expects loan g...#State-run Punjab National Bank (PNB) is set to announce its results for the quarter ended December 2010. It has reported net profit at Rs 1,090 crore ...#Punjab National Bank (PNB) is set to announce its results for the quarter ended December 2010. According to CNBC-TV18 estimates, its net profit is exp...",2011-04-11,122.567116,-0.0388924154
"Mid-cap Indian banks reported strong profits for October-December on Friday, riding on robust loan growth and increased corporate activity, but rising...",2011-03-11,110.469185,-0.0987045416
"Karvy Stock Broking has maintained an outperformer rating on Punjab National Bank (PNB) with a target of Rs 1380 in its January 24, 2011 research repo...",2011-02-11,106.59288,-0.0350894686
"Angel Broking is bullish on Punjab National Bank (PNB) and has recommended accumulate rating on the stock with a target of Rs 1259 in its January 21, ...#KRChoksey is bullish on Punjab National Bank and has recommended buy rating on the stock with a target of Rs 1512 in its January 25, 2011 research rep...",2011-01-11,121.051651,0.1356448104
"Axis Bank looks very attractive, says Sam Mahtani, F&C Investments. ...#IIFL is bullish on Punjab National Bank (PNB) and has recommended buy rating on the stock with a target of Rs 1370 in its March 10, 2011 research repo...",2011-09-30,109.356354,-0.0966141057
"Prashastha Seth, Senior VP, IIFL Private Wealth is positive on banking stocks....",2011-08-25,110.251396,0.0081846364
"Apparel manufacturer Koutons Retail has admitted that debt clouds are hanging over the company and there is no other option than planning for debt res...#Prefer Bank Of Baroda, Punjab National Bank (PNB), says Devang Mehta from Anand Rathi Financial Services....#Prefer private sector banks, says Abhijit Chakraborty, Fortune Financial....#Motilal Oswal has come out with a report on public sector banks....#Aditya Birla Money is bullish on Punjab National Bank (PNB) and has recommended buy rating on the stock with a target of Rs 1180-1200 in its March 25,...",2011-11-08,112.253769,0.0181618834
"Nirmal Jain, Chairman, India Infoline is bullish on HDFC Bank, LIC Housing Fin and Yes Bank....#Bank of Baroda Chairman and Managing Director M D Mallya will take over as Chairman of the Indian Banks' Association (IBA) from April 1....",2011-08-08,126.425354,0.1262459615
"Keep Rs 1210-1212 stoploss in PNB, says Anu Jain, IIFL Private Wealth Management....",2011-03-08,111.917633,-0.1147532559
"Sharekhan has come out with its earning estimates on banking sector for the quarter ended March 2011. According to the research firm, Punjab National ...#State-run Punjab National Bank Ltd (PNB) has short-listed Bharti Axa Life, Aviva Life and MetLife for a life insurance tie-up, the Economic Times repo...",2011-02-08,103.59288,-0.0743828544
Emkay Global Financial Services has come out with its earning estimates on banking sector for the quarter ended March 2011. According to the research ...,2011-07-29,128.967056,0.2449413126
"Angel Broking has come out with its earning estimates on banking sector for the quarter ended March 2011. According to the research firm, Punjab Natio...",2011-07-28,126.264709,-0.0209537775
"The CBI has filed a case alleging Venkoba Gujjal, deputy general manager of Punjab National Bank for giving bribes to get loans, reports CNBC-TV18. ...",2011-07-27,129.213776,0.0233562254
India's banks are likely to raise upto USD 9 billion in overseas bonds issuance as corporates grow their foreign business organically and through acqu...,2011-07-15,130.826004,0.0124772145
"The Reserve Bank of India (RBI) relaxed the provisioning norms for banks with retrospective effect from September 30, 2010, which in turn could help b...",2011-12-07,105.684357,-0.1921762206
"Punjab National Bank is to announce its fourth quarter results. According to CNBC-TV18's estimates, the company's net interest income (NII) is seen up...#Punjab National Bank (PNB) has support at Rs 1050, says Shardul Kulkarni, Sr Technical Analyst, Angel Broking. ...",2011-07-07,131.267776,0.2420738483
"Punjab National Bank has revised its base rate upward by 50 basis points i.e 10% from 90.50% with effect from May 05, 2011....#Punjab National Bank at its meeting held on May 04, 2011 has declared dividend at Rs 22 per share of Rs 10 each for the F.Y. 2010-11....#Punjab National Bank, (PNB) has announced its fourth quarter results. The company's Q4 net profit was up 6% at Rs 1,200 crore versus Rs 1,135 crore, y...",2011-06-07,112.706299,-0.1414016262
"Motilal Oswal is bullish on Punjab National Bank (PNB) and has recommended buy rating on the stock with a target of Rs 1400 in its May 4, 2011 researc...",2011-02-07,105.345459,-0.0653099256
"Interest earned for the quarter was Rs 7,440.29 crore and net profit was Rs 1,200.90 crore....#Emkay Global Financial Services is bullish on Punjab National Bank (PNB) and has recommended accumulate rating on the stock with a target of Rs 1300 i...",2011-06-29,124.531975,0.1821295021
"Country's largest lender SBI today announced a hike in lending rates by 75 basis points (bps), making housing, auto and other loans dearer for both ne...",2011-06-17,120.464104,-0.0326652733
"ICICIdirect.com is bullish on Punjab National Bank (PNB) and has recommended buy rating on the stock with a target of Rs 1255 in its May 12, 2011 rese...",2011-06-16,120.12558,-0.0028101649
"SBI may slip to Rs 2138, says Salil Sharma of Kapur Sharma & Co. ...#Aditya Birla Money is bearish on Punjab National Bank (PNB) and has recommended sell rating on the stock with a target of Rs 1000 in its May 20, 2011 ...",2011-06-14,112.30938,-0.0650669075
"PNB has support at Rs 1000, says Shardul Kulkarni, Angel Broking. ...",2011-05-27,110.979485,-0.0118413529
"Amit Khurana, Director Research, Dolat Capital is positive on Punjab National Bank (PNB)....",2011-05-26,111.551659,0.0051556736
"Hold PNB, says Prashastha Seth, Senior VP, IIFL Private Wealth....",2011-05-25,108.376396,-0.0284645072
"The Delhi High Court has come down heavily on Punjab National Bank for its ""arm twisting"" tactics of not releasing Rs 1,000 crore loan-securities to r...",2011-05-24,108.180511,-0.0018074508
"KRChoksey is bullish on Punjab National Bank (PNB) and has recommended buy rating on the stock with a target of Rs 1380 in its June 13, 2011 research ...",2011-05-23,106.216591,-0.0181541017
"Enter Punjab National Bank at Rs 1000, says SP Tulsian of sptulsian.com....",2011-10-05,104.301628,-0.0180288501
"Punjab National Bank (PNB) on Saturday said it will focus on the economic activities of Self Help Groups (SHGs), tourism, agriculture and dairy sector...#Punjab National Bank's credit to micro, small and medium enterprises rose to Rs 45,296 crore as at end of March 2011 from Rs 35,034 crore last year, r...",2011-09-05,106.694153,0.0229385202
"Rupay, the first domestic form of plastic money promoted by the National Payment Corporation of India (NPCI), is fast inking strategic ties with banks...",2011-07-05,130.183395,0.2201549133
"Sushil Finance is bullish on Punjab National Bank (PNB) and has recommended buy rating on the stock with a target of Rs 1370 in its July 4, 2011 resea...",2011-05-05,109.94339,-0.1554730156
"Punjab National Bank (PNB), India's second largest public sector bank, is set to foray into the Canadian market by setting up a subsidiary with an est...#As the overall credit off take started losing steam on the back of rising interest rates, the Reserve Bank of India (RBI) on Tuesday asked banks to st...",2011-04-05,123.500114,0.1233064034
"KRChoksey has come out with its earning estimates on banking sector for the quarter ended June 2011. According to the research firm, Punjab National B...",2011-04-26,125.964043,0.0199508237
"Way2Wealth is bullish on Punjab National Bank (PNB) and has recommended buy rating on the stock with a target of Rs 1350 in its July 13, 2011 research...",2011-04-25,125.257851,-0.0056062983
Punjab National Bank is to announce its first quarter results. According to CNBC-TV18's estimates the company's net interest income (NII) is seen up 1...,2011-04-19,122.072289,-0.0254320346
"Buy Punjab National Bank (PNB) at current levels, says SP Tulsian of sptulsian.com....#The country's second largest public sector lender, Punjab National Bank (PNB), today said it has selected Metlife as its partner for a proposed foray ...#KR Kamath, chairman and managing director of the bank joins CNBC-TV18 to talk beyond the numbers and the way forward for PNB....#Below Rs 830-820, Reliance Industries (RIL) can slip to Rs 790-770, says Ashish Chaturmuhta of IIFL Private Wealth Management....#Sharad Avasthi of SPA Securities feels that one should buy PNB. ...#Punjab National Bank (PNB) has posted a rise of 3.5% in its first quarter of FY12 net profit. During the period, net profit increased to Rs 1,105 cror...",2011-04-15,122.84549,0.00633396
"Corporation Bank has entered into a partnership with National Collateral Management Services Limited (NCMSL), a major agri-infrastructure player, for ...#Sharekhan has come with its report on various stocks....",2011-11-04,112.282463,-0.0859862824
"SP Tulsian, sptulsian.com feels investors can add Hindalco, PNB & Thermax....#Motilal Oswal is bullish on Punjab National Bank (PNB) and has recommended buy rating on the stock with a target of Rs 1500 in its July 28, 2011 resea...",2011-03-30,125.520752,0.117901662
Country's largest private lender ICICI Bank today announced a hike in lending rates by 50 basis points....,2011-03-25,117.824852,-0.0613117742
The Reserve Bank of India�s governor today has proposed to separate the chairman and managing director or CEO position in PSU banks. Sharing their vie...,2011-03-16,113.067116,-0.0403797325
Ailing Koutons Retail has got some respite as bankers have approved its debt restructuring package. ...,2011-11-03,113.34964,0.0024987283
"R K Global is bullish on Punjab National Bank (PNB) and has recommendation buy rating on the stock with a target of Rs 930 in its October 7, 2011 rese...",2011-02-02,111.335152,-0.017772337
"Amid rising concerns about funding for the power sector, public sector lender Punjab National Bank (PNB) has started restructuring loans doled out to ...#Sudarshan Sukhani of technicaltrends.com shares his view on Punjab National Bank....#David Pezarkar, Head - Equity, Daiwa Mutual Fund shares his view on banks...#Amisha Vora, Joint Managing Director, Prabhudas Lilladher feels that investors can accumulate Punjab National Bank (PNB) and Bank Of Baroda (BoB) at c...#KR Kamath, chairman and managing director of PNB said he expects to achieve the bank�s guidance for full year margins despite savings bank interest ra...#Punjab National Bank (PNB), country's second largest PSU bank by market cap, has reported a net profit of Rs 1,205 crore in the second quarter of FY12...#India's second largest PSU bank by market cap - Punjab National Bank is expected to report a profit after tax of Rs 1,148 crore in the second quarter ...#India's second largest PSU bank by market cap - Punjab National Bank is expected to report a profit after tax of Rs 1,148 crore in the second quarter ...",2011-01-27,114.29393,0.0265754162
"Prakash Diwan, Asit C Mehta Investment shares his view on Punjab National Bank....#Punjab National Bank (PNB) may test Rs 1010, says Sudarshan Sukhani of Technical Trends. ...#Public sector banks have been a put-off this earnings season, with Union Bank and Oriental Bank of Commerce disappointing the most, says Sampath Kumar...#Sudarshan Sukhani of Technical Trends is of the view that one can buy Bata India....#Buy Punjab National Bank (PNB), says Sudarshan Sukhani of Technical Trends....",2011-01-25,117.299072,0.0262931024
"Dolat Capital is bullish on Punjab National Bank (PNB) and has recommended buy rating on the stock with a target price of Rs 1426 in its November 1, 2...",2011-01-21,116.015587,-0.0109419877
"Karvy Stock Broking is bullish on Punjab National Bank (PNB) and has recommended buy rating on the stock with a target of Rs 1250 in its November 2, 2...#Sudarshan Sukhani, Technical Trends feels that one can buy PNB for long term....",2011-01-14,115.366089,-0.0055983684
"SBI may slip 15-20%, says Suresh Ganapathy, Banking Analyst at Macquarie....",2011-12-01,103.383629,-0.1038646634
"The total business of Punjab National Bank in Kerala has crossed Rs 7000 crore, registering a y-o-y growth of around 30% as on December 2, 2011, a top...",2011-11-01,116.201164,0.1239803161
"Jet Airways may see further declines, says Sudarshan Sukhani, s2analytics.com....",2011-08-01,128.152328,0.1028489181
"Sr. Technical Analyst, Shardul Kulkarni of Angel Broking view on ICICI Bank, Punjab National Bank....",2011-07-01,125.249176,-0.0226539154
"Bull's Eye, CNBC-TV18's popular game show, where market experts come together to dish out trading strategies for you to make your week more exciting a...",2011-06-01,113.628983,-0.0927766024
"The worst seems over for Indian banks. The third quarter (October-December) earnings, according to analysts tracking banks, would not spring any ugly ...",2012-12-31,115.60006,0.0173466043
Angel Broking has come with its quarterly earning estimates for banking sector....,2012-12-26,111.779007,-0.0330540745
"Nirmal Bang is bullish on Punjab National Bank (PNB) and has recommended buy rating on the stock with a target price of Rs 875, in its January 10, 201...#Dolat Capital is bullish on Punjab National Bank (PNB) and has recommended buy rating on the stock with a target of Rs 1309 in its January 10, 2012 re...",2012-12-19,112.913383,0.0101483814
"KRChoksey has come with its December quarterly earning estimates for banking sector. According to the research firm, during Q3FY12, private sector ban...#Motilal Oswal has come with its December quarterly earning estimates for financial sector....",2012-12-17,111.109009,-0.0159801607
"PNB has target of Rs 950, says Sudarshan Sukhani of s2analytics.com....",2012-12-13,108.760643,-0.0211356939
"According to IIFL, traders can sell Punjab National Bank (PNB) February futures below Rs 911 with stop loss of Rs 931 for target of Rs 870, in its Jan...",2012-10-12,108.833618,0.0006709688
"SBI can test Rs 2250-2300, says Amit Harchekar of IIFL....",2012-07-12,112.057632,0.0296233283
"Prakash Diwan, Asit C Mehta Investment advice investors to avoid PSU Banks....",2012-06-12,92.000481,-0.1789896024
"State-owned Punjab National Bank�s (PNB) third quarter (October-December) net profit moderated 5.5% year-on-year to Rs 1,150 crore on the back of high...#PNB can test Rs 910-915, says Devangshu Dutta, Consulting Editor, Outlook....",2012-04-12,104.714729,0.1381976253
"Interest earned for the quarter was Rs 9,481.03 crore and net profit was Rs 1,150.04 crore....#The Finance Ministry is working out the financial implication of the Supreme Court judgement to cancel 122 telecom licences on the banking sector....",2012-03-12,111.427589,0.0641061679
"Public sector banks have an exposure of about Rs 10,000 crore in the telecom companies whose licences were cancelled by the Supreme Court in connectio...",2012-11-30,104.136902,-0.0654298192
"Angel Broking is bullish on Punjab National Bank (PNB) and has recommended accumulate rating on the stock with a target of Rs 1036 in its February 1, ...",2012-11-29,101.728851,-0.023123897
"One can go long in Punjab National Bank (PNB), says Sudarshan Sukhani of s2analytics.com....",2012-11-27,100.096939,-0.0160417815
"Dolat Capital is bullish on Punjab National Bank (PNB) and has recommended buy rating on the stock with a target price of Rs 1238 in its February 1, 2...",2012-11-22,97.350563,-0.0274371627
The ministry of finance (MoF) has shortlisted 17 GMs from different public sector banks to promote them to the level of EDs. Around 50-60 GMs appeared...,2012-11-19,98.703842,0.0139010906
"On CNBC-TV18's show Super Six, market gurus Vishal Kshatriya, Sr Derivative and Technical Analyst, Edelweiss, Vishal B Malkan, CMT, www.malkansview.co...",2012-11-16,98.564545,-0.0014112622
"Abhijeet Power Ltd, an unlisted utility with an operational capacity of 246 MW, plans to raise Rs 5920 crore debt for a 1,320 MW coal-fired power proj...",2012-11-15,101.264481,0.027392568
"State Bank of India, the country's top lender, will issue shares to the federal government at Rs 2,191.69 a piece to raise about Rs 79 billion, the st...",2012-12-11,110.06749,0.0869308657
"Sell PNB, says Sudarshan Sukhani of s2analytics.com....",2012-09-11,90.889267,-0.1742405773
"On CNBC-TV18's show Super Six, market gurus Hemen Kapadia, CEO of chartpundit.com, Vishal Malkan of www.malkansview.com and Arunesh Madan, Founder and...",2012-07-11,114.498863,0.2597622005
"Punjab National Bank (PNB) plans to undertake capital infusion to the tune of Rs 2,360 crore to maintain the financial strength of the bank....",2012-05-11,85.471222,-0.2535190328
"Dolat Capital is bullish on Punjab National Bank (PNB) and has recommended accumulate rating on the stock with a target price of Rs 1,205 in its March...",2012-01-11,101.031258,0.1820500004
"Buy Punjab National Bank, says Sudarshan Sukhani of s2analytics.com....",2012-10-31,97.967491,-0.0303249416
"Lenders of the engineering and construction firm Hindustan Construction Company (HCC) have referred their total debt of around Rs 7,820 crore to the C...",2012-10-30,96.700455,-0.012933229
"IIFL is bullish on Punjab National Bank (PNB) and has recommended a market performer rating on the stock with a target of Rs 1016 in its March 26, 201...",2012-10-29,100.216347,0.036358588
"According to IIFL, traders can sell Punjab National Bank (PNB) Future below Rs 911 with stop loss of Rs 931.5 for target of Rs 870, in its April 10, 2...",2012-10-25,106.651115,0.0642087663
"On CNBC-TV18's show Super Six, market gurus Manas Jaiswal of manasjaiswal.com, Arunesh Madan of Augment Investment and Shardul Kulkarni, Angel Broking...",2012-10-23,108.601433,0.0182868974
Lenders from both public and private sectors ranked higher in the two big loan restructuring cases referred to Corporate Debt Restructuring (CDR) cell...,2012-10-19,109.165306,0.0051921322
"Shardul Kulkarni, Sr.Technical Analyst, Angel Broking is bullish on ICICI Bank, PNB....",2012-10-18,110.332855,0.0106952387
"KR Kamath, chairman of Punjab National Bank says, the bank sees net interest margins (NIM) at 3.50% ahead. ...#Sudarshan Sukhani of s2analytics.com is of the view that investor can hold PNB with long term perspective....#India's second largest lender (in terms of total business) Punjab National Bank (PNB) on Wednesday reported more than 18% year-on-year jump in its fou...#Punjab National Bank board in its meeting held on May 09 has recommended annual dividend of Rs 22 per equity share for FY 2011-12....#Public sector lender Punjab National Bank is expected to report a profit after tax of Rs 1,334 crore for the fourth quarter of FY12, a growth of 11% a...",2012-10-16,106.823586,-0.0318062013
"Ventura has recommended hold rating on Punjab National Bank, in its May 11, 2012 research report....",2012-09-10,91.068382,-0.147488065
"Punjab National Bank (PNB) is a good short, says Devangshu Datta, Consulting Editor, Business Standard....",2012-08-10,95.698753,0.0508449903
"On CNBC-TV18's show Super Six, market gurus Vishal Malkan, CMT, www.malkansview.com, Manas Jaiswal of manasjaiswal.com and Nooresh Merani of AMSEC Res...",2012-05-10,86.429375,-0.0968599664
"On CNBC-TV18's show Super Six, market gurus Parag Doctor, Head - Trading Strategies, Keynote Capital, Manas Jaiwal of manasjaiswal.com and Arunesh Mad...",2012-01-10,98.661682,0.1415295089
"PNB and SBI could move higher from current levels, says Sudarshan Sukhani of s2analytics.com....",2012-09-28,111.487129,0.1299942059
"SP Tulsian of sptulsian.com view on Arvind, UCO Bank, PNB, SBI...#The long wait came to an end for the short-staffed public sector banks. The ministry of finance, department of financial services, on Monday finalized...",2012-09-27,110.571655,-0.008211477
"Advance tax collection from top 100 companies grew to Rs 33,089 crore, a rise of mere 5% against the annual targetted growth rate of 15% as lead corpo...",2012-09-26,110.571655,0
"Bull's Eye, CNBC-TV18's popular game show, where market experts come together to dish out trading strategies for you to make your week more exciting a...",2012-09-25,109.264816,-0.0118189332
Emkay Global Financial Services has come with its June quarterly earning estimates for Banking and Financial Services sector. According to the researc...,2012-09-21,111.082458,0.0166351994
